epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,198.779,1.82038,0.99788,1.06268,0.54319,0.3408,0.34336,0.14019,2.11433,1.30874,1.16703,0.0011882,0.0011882,0.0011882
43,203.229,2.09387,1.04223,1.03024,0.56823,0.33651,0.34969,0.14332,2.10241,1.29327,1.16865,0.0011684,0.0011684,0.0011684
44,207.363,1.95027,1.03767,1.06112,0.56076,0.35247,0.35975,0.15326,2.04238,1.17535,1.16649,0.0011486,0.0011486,0.0011486
45,212.314,1.94957,1.048,1.07328,0.57709,0.3405,0.35263,0.14827,2.05679,1.21408,1.17215,0.0011288,0.0011288,0.0011288
46,216.357,1.76669,0.98331,1.0396,0.59814,0.33067,0.36203,0.15382,2.04671,1.209,1.15745,0.001109,0.001109,0.001109
47,221.471,1.87096,0.99252,1.06779,0.59827,0.35677,0.3723,0.15726,2.04224,1.22289,1.16232,0.0010892,0.0010892,0.0010892
48,226.487,1.8761,0.93756,1.03534,0.56905,0.35124,0.36959,0.15302,2.06884,1.27722,1.15995,0.0010694,0.0010694,0.0010694
49,230.811,1.85904,0.99241,1.02693,0.58725,0.34203,0.37131,0.15447,2.06999,1.23646,1.15537,0.0010496,0.0010496,0.0010496
50,235.234,1.89876,0.99659,1.0453,0.60868,0.34003,0.36422,0.15364,2.06728,1.24028,1.16059,0.0010298,0.0010298,0.0010298
51,239.654,1.88534,0.93386,1.00411,0.59219,0.35186,0.38231,0.16125,2.07041,1.22171,1.15808,0.00101,0.00101,0.00101
52,244.761,1.79998,0.96295,1.04297,0.60079,0.35861,0.37824,0.15674,2.07056,1.19306,1.15947,0.0009902,0.0009902,0.0009902
53,249.111,1.75655,0.94712,1.02551,0.58637,0.34951,0.3692,0.15749,2.08622,1.1985,1.157,0.0009704,0.0009704,0.0009704
54,253.357,1.80224,0.93854,1.0141,0.61217,0.35232,0.37986,0.15763,2.1024,1.26437,1.15556,0.0009506,0.0009506,0.0009506
55,257.711,1.77569,0.94068,1.02984,0.57057,0.34848,0.36708,0.15399,2.07675,1.23187,1.15717,0.0009308,0.0009308,0.0009308
56,262.057,1.7769,0.95967,1.04573,0.58071,0.34848,0.37201,0.16001,2.03539,1.20614,1.14309,0.000911,0.000911,0.000911
57,266.414,1.84654,0.94471,1.01565,0.57282,0.36015,0.38732,0.16635,2.02762,1.2276,1.13673,0.0008912,0.0008912,0.0008912
58,271.352,1.88663,0.96196,1.01676,0.5949,0.35186,0.3813,0.16443,2.0335,1.22649,1.1372,0.0008714,0.0008714,0.0008714
59,275.925,1.93461,0.94314,0.99693,0.59175,0.34267,0.38001,0.16257,2.04055,1.26123,1.15244,0.0008516,0.0008516,0.0008516
60,280.374,1.87445,0.91638,0.98699,0.60077,0.33743,0.3715,0.16122,2.02741,1.22091,1.14519,0.0008318,0.0008318,0.0008318
61,284.469,1.78399,0.92619,1.01576,0.58425,0.35124,0.38026,0.1643,2.00577,1.19519,1.1337,0.000812,0.000812,0.000812
62,289.143,1.80844,0.91637,1.00681,0.59308,0.35462,0.38493,0.1654,2.00957,1.17078,1.14206,0.0007922,0.0007922,0.0007922
63,293.638,1.72122,0.9227,1.01306,0.60276,0.35953,0.38366,0.16362,2.02186,1.19294,1.13494,0.0007724,0.0007724,0.0007724
64,298.076,1.83902,0.9272,1.01631,0.6262,0.3441,0.38389,0.16646,2.03167,1.22034,1.1335,0.0007526,0.0007526,0.0007526
65,302.587,1.7318,0.90674,1.01195,0.61124,0.36291,0.39744,0.17416,1.99588,1.15215,1.13015,0.0007328,0.0007328,0.0007328
