epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,269.157,1.91004,0.98608,1.03163,0.57775,0.34019,0.36228,0.15291,2.09268,1.23411,1.15758,0.0011882,0.0011882,0.0011882
43,275.215,1.9477,0.99789,1.03707,0.62108,0.33958,0.37366,0.16416,2.01967,1.2071,1.13286,0.0011684,0.0011684,0.0011684
44,282.141,1.87547,0.9886,1.03021,0.5669,0.34804,0.36743,0.15742,2.06501,1.23488,1.14006,0.0011486,0.0011486,0.0011486
45,288.147,1.86994,0.96981,1.0293,0.59506,0.33405,0.36054,0.15746,2.03547,1.28549,1.14074,0.0011288,0.0011288,0.0011288
46,294.044,1.80494,0.95993,1.03913,0.59655,0.33712,0.36515,0.15563,2.02255,1.21101,1.13899,0.001109,0.001109,0.001109
47,300.044,1.84811,0.98174,1.04694,0.58933,0.35337,0.37031,0.15835,2.01142,1.23825,1.13375,0.0010892,0.0010892,0.0010892
48,305.9,1.8306,0.97525,1.02489,0.61759,0.35155,0.37222,0.15891,2.02171,1.20381,1.13247,0.0010694,0.0010694,0.0010694
49,311.86,1.81187,0.95466,1.0267,0.58828,0.33866,0.35372,0.14785,2.11467,1.31194,1.13066,0.0010496,0.0010496,0.0010496
50,317.913,1.89533,0.99626,1.02406,0.58842,0.35493,0.36889,0.15783,2.0691,1.25622,1.15671,0.0010298,0.0010298,0.0010298
51,324.113,1.85633,0.9633,1.01314,0.58641,0.34086,0.35934,0.158,2.02657,1.24716,1.16123,0.00101,0.00101,0.00101
52,329.993,1.79734,0.95515,1.00951,0.60193,0.34387,0.37225,0.16489,1.98217,1.191,1.14175,0.0009902,0.0009902,0.0009902
53,336.607,1.83892,0.95416,1.00797,0.61317,0.3537,0.38838,0.16579,2.00676,1.2244,1.13217,0.0009704,0.0009704,0.0009704
