epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,240.496,1.8093,0.95868,1.04399,0.61226,0.3798,0.40139,0.17564,1.91924,1.1748,1.14421,0.0011882,0.0011882,0.0011882
43,246.107,1.78369,0.93507,1.01633,0.63836,0.37427,0.4035,0.17465,1.9404,1.19401,1.1533,0.0011684,0.0011684,0.0011684
44,252.127,1.8365,0.92229,1.01905,0.66298,0.35923,0.40919,0.17482,1.97222,1.24841,1.16287,0.0011486,0.0011486,0.0011486
45,257.303,1.66574,1.11168,0.97642,0.64342,0.37274,0.41559,0.18259,1.93846,1.25138,1.14464,0.0011288,0.0011288,0.0011288
46,263.231,1.66408,0.90088,1.01352,0.64349,0.37611,0.41919,0.18732,1.90646,1.25129,1.12812,0.001109,0.001109,0.001109
47,269.392,1.77135,0.95995,1.03484,0.66573,0.37089,0.42156,0.18307,1.96929,1.21851,1.14785,0.0010892,0.0010892,0.0010892
48,274.814,1.71683,1.05894,1.01894,0.60356,0.37642,0.39965,0.17361,1.9263,1.18139,1.13644,0.0010694,0.0010694,0.0010694
49,280.095,1.73307,0.92008,1.04648,0.6733,0.38092,0.42162,0.18172,1.91769,1.14957,1.1384,0.0010496,0.0010496,0.0010496
50,285.452,1.63062,1.01906,0.98727,0.6375,0.37581,0.40365,0.17743,1.91786,1.18129,1.13946,0.0010298,0.0010298,0.0010298
51,290.9,1.69109,0.8999,1.04111,0.6613,0.37826,0.43036,0.19247,1.91379,1.21299,1.13897,0.00101,0.00101,0.00101
52,297.674,1.75211,0.88739,1.01074,0.6327,0.37581,0.40582,0.17877,1.93265,1.22826,1.13005,0.0009902,0.0009902,0.0009902
53,302.93,1.7384,0.89901,1.02857,0.63902,0.3844,0.41761,0.18552,1.88289,1.16822,1.11742,0.0009704,0.0009704,0.0009704
54,308.426,1.70837,0.92428,1.03157,0.64635,0.38887,0.41888,0.1811,1.89817,1.12159,1.12511,0.0009506,0.0009506,0.0009506
55,314.11,1.72267,0.92132,1.01965,0.65487,0.37809,0.40512,0.1719,1.95823,1.15499,1.14908,0.0009308,0.0009308,0.0009308
56,319.628,1.59173,0.89027,0.97861,0.66002,0.37366,0.41327,0.17963,1.92481,1.14373,1.1223,0.000911,0.000911,0.000911
57,325.222,1.68808,0.87293,1.00821,0.6532,0.38594,0.42472,0.18836,1.87929,1.1702,1.11875,0.0008912,0.0008912,0.0008912
58,330.717,1.66391,0.86045,1.02983,0.65745,0.38126,0.4207,0.18329,1.9212,1.23403,1.14079,0.0008714,0.0008714,0.0008714
59,336.095,1.63519,0.84101,1.00668,0.67365,0.37267,0.41549,0.18618,1.9079,1.19625,1.13212,0.0008516,0.0008516,0.0008516
60,341.51,1.68058,0.856,1.00965,0.65983,0.38041,0.42137,0.18954,1.90192,1.18601,1.13093,0.0008318,0.0008318,0.0008318
61,347.048,1.71288,0.86542,1.01134,0.65705,0.38882,0.41829,0.1861,1.89618,1.15628,1.12698,0.000812,0.000812,0.000812
62,352.458,1.67664,0.84374,1.00814,0.6641,0.37826,0.41437,0.19087,1.86087,1.14441,1.1213,0.0007922,0.0007922,0.0007922
63,357.907,1.69291,0.89001,1.01678,0.67396,0.37572,0.42058,0.1874,1.91437,1.19655,1.14468,0.0007724,0.0007724,0.0007724
64,363.443,1.65186,0.82687,0.99096,0.67928,0.37857,0.41871,0.19043,1.85675,1.16749,1.11276,0.0007526,0.0007526,0.0007526
65,369.003,1.68337,0.85562,0.99857,0.6585,0.37765,0.41739,0.18966,1.88069,1.1963,1.11767,0.0007328,0.0007328,0.0007328
66,374.507,1.67997,0.83489,0.99909,0.68277,0.37427,0.41879,0.18746,1.8886,1.17963,1.12358,0.000713,0.000713,0.000713
67,380.291,1.66706,0.8417,1.00801,0.67087,0.3844,0.42832,0.19672,1.86147,1.18452,1.11219,0.0006932,0.0006932,0.0006932
68,386.132,1.67116,0.83783,0.99537,0.65403,0.38532,0.42384,0.19475,1.85971,1.18656,1.10097,0.0006734,0.0006734,0.0006734
69,391.223,1.61924,0.82717,1.00857,0.65852,0.37715,0.40966,0.18175,1.94386,1.2074,1.15197,0.0006536,0.0006536,0.0006536
70,396.296,1.64452,0.86208,1.02131,0.70129,0.37611,0.4319,0.19543,1.86652,1.16319,1.12352,0.0006338,0.0006338,0.0006338
71,401.502,1.61812,0.80741,1.00049,0.67845,0.38348,0.43361,0.19875,1.865,1.17405,1.12464,0.000614,0.000614,0.000614
72,407.305,1.57898,0.7921,0.9975,0.66063,0.38371,0.42627,0.19227,1.87515,1.16496,1.1259,0.0005942,0.0005942,0.0005942
73,412.41,1.6821,0.87872,1.00957,0.66778,0.38103,0.41949,0.1926,1.86736,1.17599,1.12181,0.0005744,0.0005744,0.0005744
74,417.981,1.61395,0.82485,0.989,0.67937,0.37408,0.4179,0.18934,1.87255,1.16521,1.11859,0.0005546,0.0005546,0.0005546
75,423.427,1.57206,0.80497,1.0064,0.69686,0.37642,0.42898,0.19314,1.88832,1.1737,1.12646,0.0005348,0.0005348,0.0005348
76,429.369,1.64416,0.80909,0.98745,0.68308,0.37488,0.42136,0.18909,1.88846,1.20158,1.1312,0.000515,0.000515,0.000515
77,434.571,1.60283,0.79894,0.99426,0.69599,0.38103,0.42656,0.1922,1.87485,1.17762,1.12393,0.0004952,0.0004952,0.0004952
78,439.899,1.65383,0.87763,0.99334,0.65971,0.38625,0.42957,0.19781,1.85408,1.17164,1.12301,0.0004754,0.0004754,0.0004754
79,445.646,1.69217,0.84444,0.99234,0.68787,0.37611,0.42321,0.19141,1.87844,1.18576,1.12623,0.0004556,0.0004556,0.0004556
