epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,48425.9,1.14109,1.48854,1.27778,0.68552,0.70713,0.72451,0.53772,0.81733,0.84145,1.02994,0.005842,0.005842,0.005842
44,49551.2,1.12156,1.46763,1.2669,0.68485,0.71159,0.72736,0.5403,0.81434,0.8377,1.029,0.005743,0.005743,0.005743
45,50674.4,1.12549,1.4683,1.26677,0.68655,0.71128,0.72829,0.54165,0.8122,0.83385,1.02842,0.005644,0.005644,0.005644
46,51798.2,1.11918,1.45773,1.26385,0.68558,0.71379,0.72827,0.5423,0.81028,0.83235,1.02804,0.005545,0.005545,0.005545
47,52924.9,1.11731,1.4585,1.2641,0.69092,0.71471,0.73128,0.54405,0.80676,0.82775,1.02675,0.005446,0.005446,0.005446
48,54050.8,1.11594,1.44945,1.26023,0.69743,0.70682,0.73319,0.54573,0.80435,0.82264,1.02515,0.005347,0.005347,0.005347
49,55175.5,1.11332,1.44491,1.26289,0.69059,0.71363,0.73559,0.54864,0.80253,0.81779,1.02435,0.005248,0.005248,0.005248
50,56304.2,1.1105,1.44244,1.25928,0.69559,0.70863,0.7361,0.55051,0.80075,0.81312,1.02297,0.005149,0.005149,0.005149
51,57429.5,1.10189,1.44289,1.25236,0.69385,0.71284,0.73645,0.55092,0.7989,0.81048,1.02089,0.00505,0.00505,0.00505
52,58551.9,1.09534,1.42477,1.25458,0.69319,0.71377,0.73656,0.55178,0.79483,0.80898,1.01878,0.004951,0.004951,0.004951
53,59675.6,1.09313,1.42511,1.25006,0.69381,0.71518,0.73721,0.55273,0.79291,0.80728,1.01756,0.004852,0.004852,0.004852
54,60798.8,1.09766,1.42047,1.23923,0.69936,0.71332,0.73987,0.55587,0.79191,0.80268,1.0154,0.004753,0.004753,0.004753
55,61921.3,1.09218,1.42472,1.24279,0.69967,0.71908,0.74113,0.55694,0.78908,0.79666,1.01302,0.004654,0.004654,0.004654
56,63041.7,1.09149,1.41749,1.24224,0.70147,0.71642,0.74284,0.55921,0.78611,0.79168,1.01071,0.004555,0.004555,0.004555
57,64165.5,1.08435,1.42057,1.24555,0.70117,0.71673,0.74474,0.56019,0.78292,0.7865,1.00919,0.004456,0.004456,0.004456
